,Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
132,01/06/2022 13,262.93,127.34,11537.0
133,01/06/2022 14,84.87,127.38,11553.0
134,01/06/2022 15,88.4,127.43,11561.0
135,01/06/2022 16,234.68,127.68,11520.0
136,01/06/2022 17,310.04,128.03,11629.0
137,01/06/2022 18,495.55,128.64,11787.0
138,01/06/2022 19,405.27,129.14,11598.0
139,01/06/2022 20,194.66,129.36,11471.0
140,01/06/2022 21,120.0,129.47,11373.0
141,01/06/2022 22,86.77,129.54,11188.0
142,01/06/2022 23,76.33,129.61,10972.0
143,01/06/2022 24,79.21,129.68,10753.0
144,01/07/2022 01,76.03,129.75,10549.0
145,01/07/2022 02,71.67,129.81,10447.0
146,01/07/2022 03,70.64,129.87,10371.0
147,01/07/2022 04,68.63,129.92,10373.0
148,01/07/2022 05,70.25,129.98,10375.0
149,01/07/2022 06,70.68,130.04,10456.0
150,01/07/2022 07,73.16,130.07,10670.0
151,01/07/2022 08,76.48,130.11,11084.0
152,01/07/2022 09,77.37,130.14,11340.0
153,01/07/2022 10,238.55,130.39,11402.0
154,01/07/2022 11,427.39,130.78,11438.0
155,01/07/2022 12,715.44,131.71,11451.0
156,01/07/2022 13,676.6,132.6,11448.0
157,01/07/2022 14,678.26,133.5,11343.0
158,01/07/2022 15,676.61,134.37,11358.0
159,01/07/2022 16,634.18,135.09,11342.0
160,01/07/2022 17,639.4,135.69,11523.0
161,01/07/2022 18,484.51,136.09,11751.0
162,01/07/2022 19,318.09,136.23,11555.0
163,01/07/2022 20,96.74,136.16,11408.0
164,01/07/2022 21,102.74,136.08,11405.0
165,01/07/2022 22,92.0,135.96,11257.0
166,01/07/2022 23,89.3,135.96,11064.0
167,01/07/2022 24,88.61,136.02,10791.0
168,01/08/2022 01,75.33,136.09,10553.0
169,01/08/2022 02,71.92,136.15,10467.0
170,01/08/2022 03,67.26,136.2,10373.0
171,01/08/2022 04,68.44,136.25,10347.0
172,01/08/2022 05,71.11,136.31,10360.0
173,01/08/2022 06,75.04,136.37,10388.0
174,01/08/2022 07,74.09,136.43,10470.0
175,01/08/2022 08,66.54,136.46,10664.0
176,01/08/2022 09,73.68,136.51,10863.0
177,01/08/2022 10,100.06,136.58,11044.0
178,01/08/2022 11,117.94,136.69,11113.0
179,01/08/2022 12,115.34,136.8,11121.0
180,01/08/2022 13,108.98,136.88,11089.0
181,01/08/2022 14,123.5,136.99,11089.0
182,01/08/2022 15,98.07,137.06,11140.0
183,01/08/2022 16,71.63,137.08,11212.0
184,01/08/2022 17,73.86,136.97,11469.0
185,01/08/2022 18,89.75,136.99,11748.0
186,01/08/2022 19,75.91,136.99,11629.0
187,01/08/2022 20,46.77,136.92,11468.0
188,01/08/2022 21,42.07,136.9,11288.0
189,01/08/2022 22,44.52,136.86,11102.0
190,01/08/2022 23,40.78,136.78,10891.0
191,01/08/2022 24,47.03,136.75,10661.0
192,01/09/2022 01,38.33,136.73,10481.0
193,01/09/2022 02,33.62,136.71,10354.0
194,01/09/2022 03,33.22,136.69,10289.0
195,01/09/2022 04,40.09,136.68,10279.0
196,01/09/2022 05,45.44,136.67,10270.0
197,01/09/2022 06,58.09,136.69,10318.0
198,01/09/2022 07,59.74,136.7,10439.0
199,01/09/2022 08,65.89,136.71,10602.0
200,01/09/2022 09,72.65,136.73,10772.0
201,01/09/2022 10,63.05,136.74,10900.0
202,01/09/2022 11,59.79,136.76,11008.0
203,01/09/2022 12,56.3,136.78,11087.0
204,01/09/2022 13,55.94,136.79,11100.0
205,01/09/2022 14,55.54,136.8,11088.0
206,01/09/2022 15,57.49,136.82,11099.0
