,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
53,06/24/2022,96,20,22,19,12,19,16,47,33,30,39,27,43,29,37,37,39,43,21,29,35,32,36,50.0
54,06/25/2022,70,20,18,21,25,24,23,55,47,43,47,45,35,43,34,25,39,36,38,35,47,32,42,72.0
55,06/26/2022,85,46,29,24,23,33,28,75,51,52,48,43,42,41,32,32,32,44,39,41,38,53,42,68.0
56,06/27/2022,80,32,34,30,26,41,32,76,50,57,53,38,46,37,32,36,25,40,28,37,43,40,33,68.0
57,06/28/2022,80,41,42,32,29,34,37,88,59,58,46,45,48,44,36,39,41,41,27,28,32,36,36,70.0
58,06/29/2022,102,43,27,31,25,48,26,88,56,41,43,44,37,31,46,41,39,38,31,46,32,35,34,71.0
59,06/30/2022,82,31,23,35,28,39,27,93,53,56,54,31,48,60,40,36,35,37,37,39,46,49,52,80.0
60,07/01/2022,98,34,39,36,35,36,30,90,62,47,48,41,52,29,39,37,32,28,36,33,40,32,34,74.0
61,07/02/2022,82,33,24,27,25,31,23,69,37,33,33,36,43,28,40,26,31,36,31,27,46,19,29,70.0
62,07/03/2022,64,25,23,23,28,25,15,59,32,46,25,32,47,22,37,26,36,32,29,23,36,32,28,58.0
63,07/04/2022,77,38,28,30,24,34,22,71,38,43,45,30,32,33,39,20,30,38,31,37,31,43,39,73.0
64,07/05/2022,73,27,24,19,19,35,22,63,36,33,45,51,38,28,37,17,25,21,31,42,32,48,43,65.0
65,07/06/2022,97,27,29,38,22,38,26,81,55,51,43,48,40,42,48,33,31,33,30,28,41,47,50,75.0
66,07/07/2022,96,36,27,22,22,48,26,70,52,59,53,51,57,42,50,32,36,39,28,39,42,57,53,62.0
67,07/08/2022,100,31,37,28,37,39,32,79,61,57,45,41,41,35,46,39,34,48,41,41,49,50,52,81.0
68,07/09/2022,83,43,26,38,30,32,42,77,54,51,57,44,45,35,40,38,37,33,32,47,40,42,58,65.0
69,07/10/2022,89,41,33,46,30,43,35,77,41,56,49,44,43,35,40,34,41,41,45,34,39,45,45,70.0
70,07/11/2022,76,43,38,27,29,50,40,80,53,51,52,52,45,37,29,45,47,44,27,48,37,38,61,73.0
71,07/12/2022,104,46,44,46,37,42,39,104,59,56,67,70,60,65,56,52,56,53,51,48,52,62,64,104.0
72,07/13/2022,120,54,45,54,38,62,44,108,82,60,65,61,46,64,49,56,53,42,62,46,48,48,57,92.0
73,07/14/2022,108,41,44,39,48,42,38,105,65,64,59,61,50,60,56,53,62,51,43,47,44,55,61,98.0
74,07/15/2022,110,51,49,35,42,42,35,110,68,68,73,84,62,54,47,46,45,47,53,46,41,74,72,98.0
75,07/16/2022,109,54,45,39,52,41,50,93,60,53,52,61,47,59,53,40,50,51,50,42,60,51,54,94.0
76,07/17/2022,96,46,40,38,35,37,47,98,49,57,55,56,52,57,57,51,46,46,51,41,61,43,58,82.0
77,07/18/2022,83,49,40,46,38,44,43,87,61,53,62,49,53,53,41,39,44,38,36,41,39,41,52,79.0
78,07/19/2022,109,49,52,48,48,47,47,94,70,66,56,63,55,54,45,44,50,48,46,58,60,55,54,94.0
79,07/20/2022,114,54,42,46,46,46,62,96,72,75,54,54,52,56,52,49,42,42,44,49,53,57,56,88.0
80,07/21/2022,95,52,38,52,45,52,49,88,70,68,72,59,65,55,49,67,35,55,42,64,55,65,60,96.0
81,07/22/2022,98,41,36,44,38,44,41,88,61,60,50,65,52,45,51,42,47,48,47,43,51,51,42,94.0
