Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
01/02/2022,70,13,15,14,11,20,18,68,23,16,21,21,23,26,11,35,47,24,35,27,20,28,15,73
01/03/2022,68,9,11,12,10,11,17,77,26,28,18,28,23,17,14,28,31,20,20,20,11,22,12,69
01/04/2022,72,3,6,8,6,16,19,68,26,22,21,12,10,30,12,22,30,23,14,26,19,19,21,64
01/05/2022,82,17,22,9,12,42,22,63,33,29,26,25,25,36,10,18,27,18,21,23,27,19,9,52
01/06/2022,91,23,19,4,13,25,25,52,23,25,17,19,20,24,11,21,21,25,15,10,22,15,31,54
01/07/2022,87,16,13,14,20,32,35,70,33,24,47,24,30,31,37,32,32,23,32,34,32,32,28,66
01/08/2022,87,18,19,19,17,21,28,77,30,28,26,22,28,22,19,26,32,23,25,34,29,32,20,64
01/09/2022,63,22,18,25,23,25,23,70,26,30,29,33,25,34,16,33,31,21,28,24,29,44,28,62
01/10/2022,84,22,14,16,21,26,26,72,46,32,34,42,38,43,24,29,37,23,20,27,32,24,36,71
01/11/2022,95,34,21,23,20,31,29,58,30,29,31,35,23,40,33,27,45,24,31,33,36,33,25,52
01/12/2022,75,23,22,17,18,36,29,62,33,30,32,51,33,27,29,20,40,27,24,36,35,27,25,54
01/13/2022,82,27,23,21,15,35,20,62,44,39,34,34,41,30,31,30,33,30,41,36,38,36,40,71
01/14/2022,81,23,20,32,29,37,31,70,36,41,37,35,34,34,34,33,32,30,31,34,26,32,27,63
01/15/2022,86,20,26,19,18,28,24,59,31,28,27,28,26,36,33,40,33,35,33,34,32,31,28,57
01/16/2022,58,30,14,20,23,33,32,59,41,29,31,32,39,42,32,36,40,38,36,33,34,24,23,51
01/17/2022,69,20,17,16,19,23,29,72,34,31,23,41,33,28,24,28,41,37,31,33,35,42,32,60
01/18/2022,79,37,23,28,28,31,40,66,41,36,42,46,34,30,27,37,41,37,36,35,31,30,29,76
01/19/2022,90,31,26,27,22,31,35,86,37,40,29,36,34,38,39,35,33,40,35,30,34,31,31,72
01/20/2022,96,25,31,21,22,36,42,89,46,43,27,34,34,31,29,44,35,28,27,39,40,24,28,74
