Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
01/21/2022,100,26,24,27,27,46,45,72,36,37,16,43,18,33,36,22,23,21,20,20,25,23,22,48
01/22/2022,86,24,24,15,26,20,22,53,24,27,17,20,27,25,25,20,32,22,31,34,30,34,22,53
01/23/2022,60,22,18,17,17,22,25,66,20,24,17,21,24,23,22,25,32,27,32,36,35,38,18,68
01/24/2022,76,28,16,31,26,36,31,81,28,44,29,39,26,31,20,22,31,35,35,27,27,26,29,77
01/25/2022,93,18,17,28,19,43,34,73,36,42,43,37,37,40,42,34,33,29,33,33,37,29,22,60
01/26/2022,88,19,17,31,14,29,31,78,36,31,35,45,28,31,33,29,47,42,47,45,44,31,39,68
01/27/2022,82,26,37,32,25,36,46,92,45,48,38,38,34,38,35,41,45,33,41,31,51,31,37,69
01/28/2022,87,23,19,18,23,36,33,71,36,34,32,40,32,45,29,33,37,28,24,25,47,25,29,68
01/29/2022,81,23,28,17,19,25,16,55,30,26,26,32,29,35,38,24,31,30,33,28,26,38,22,51
01/30/2022,52,23,24,16,14,29,31,54,29,20,30,29,33,30,26,21,26,28,31,36,34,32,27,60
01/31/2022,60,29,17,25,27,36,41,85,56,44,38,48,43,31,30,28,47,38,41,32,31,36,24,71
02/01/2022,76,25,24,21,20,40,25,70,32,27,27,34,37,28,30,22,29,30,28,26,32,30,31,59
02/02/2022,87,22,23,26,20,56,32,86,40,32,31,44,34,31,47,25,34,33,32,44,41,41,35,65
02/03/2022,95,21,29,28,26,46,35,70,43,36,37,33,31,37,37,33,41,38,39,38,33,29,23,76
02/04/2022,92,27,18,23,29,43,32,71,37,34,50,37,46,41,42,32,38,32,33,35,33,30,23,55
02/05/2022,67,20,22,21,16,28,27,55,26,25,33,27,35,34,28,20,33,31,33,34,39,25,27,63
02/06/2022,62,24,19,21,13,23,31,48,26,32,38,42,33,35,30,24,37,26,30,26,26,27,18,47
02/07/2022,57,14,16,20,18,26,44,62,31,41,39,35,30,34,29,33,32,38,35,38,40,41,27,53
02/08/2022,77,20,14,12,27,22,22,60,29,26,31,35,27,26,28,23,16,29,28,21,31,37,20,46
02/09/2022,74,12,14,9,18,19,27,59,24,22,29,23,27,24,25,21,19,38,19,30,31,21,25,55
02/10/2022,75,15,18,11,13,20,28,59,28,20,31,21,18,24,27,28,33,34,30,34,32,25,25,58
02/11/2022,80,15,20,17,22,29,41,67,41,29,22,19,18,24,26,28,34,48,28,31,24,27,32,66
02/12/2022,82,13,20,11,11,16,20,69,31,18,32,35,32,39,23,27,24,24,27,31,27,31,21,51
02/13/2022,76,24,15,12,14,15,23,65,25,22,35,22,14,19,20,15,22,27,30,29,33,33,21,52
02/14/2022,66,15,20,9,10,15,37,69,28,22,37,34,37,27,39,27,43,27,31,22,26,34,17,59
02/15/2022,79,22,15,15,19,23,23,62,35,28,30,24,25,40,38,20,24,38,28,33,31,23,28,59
02/16/2022,79,28,14,18,29,38,46,71,36,41,31,25,33,32,44,49,35,50,40,36,38,35,26,76
02/17/2022,88,24,23,18,28,38,35,68,47,35,43,30,31,23,22,29,44,37,37,31,43,32,26,74
02/18/2022,92,21,24,19,22,35,35,83,37,30,45,31,39,36,48,43,43,39,39,35,41,35,30,74
02/19/2022,89,30,25,24,26,25,26,73,28,23,29,27,25,23,28,28,39,29,36,32,34,29,34,70
02/20/2022,90,36,27,33,33,33,34,75,28,28,23,23,24,22,18,18,32,33,21,28,30,16,29,75
02/21/2022,71,20,17,9,15,26,19,79,34,31,40,35,30,33,35,27,36,40,33,31,32,30,31,80
02/22/2022,58,21,19,15,15,20,23,87,38,39,25,26,38,44,25,28,36,28,35,27,27,19,25,86
02/23/2022,97,17,26,16,13,26,23,70,30,28,33,35,45,33,37,37,32,38,45,36,37,35,29,76
02/24/2022,80,19,18,9,19,31,28,73,42,38,32,46,39,34,23,41,29,20,43,25,37,37,29,73
02/25/2022,80,14,13,23,15,34,24,68,30,26,40,49,39,47,40,41,30,31,28,35,34,36,34,64
02/26/2022,84,21,22,24,22,26,16,72,30,22,36,33,33,26,33,31,25,27,41,44,34,42,25,54
02/27/2022,55,16,17,15,12,15,23,60,29,16,27,29,29,27,37,28,35,22,27,29,28,35,17,57
02/28/2022,62,25,24,24,25,39,32,70,31,33,37,30,12,37,29,34,28,42,37,24,31,23,35,65
