Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
01/07/2020 15,32.94,42.82,11103
01/07/2020 16,33.05,42.73,11200
01/07/2020 17,32.97,42.66,11384
01/07/2020 18,32.94,42.4,11489
01/07/2020 19,32.98,42.37,11319
01/07/2020 20,29.85,42.36,11147
01/07/2020 21,32.05,42.34,11023
01/07/2020 22,29.5,42.33,10773
01/07/2020 23,28.08,42.32,10402
01/07/2020 24,27.15,42.3,10061
01/08/2020 01,27.25,42.29,9869
01/08/2020 02,26.63,42.28,9728
01/08/2020 03,25.41,42.28,9676
01/08/2020 04,26.93,42.28,9727
01/08/2020 05,28.02,42.28,9808
01/08/2020 06,30.58,42.28,10009
01/08/2020 07,31.97,42.28,10408
01/08/2020 08,34.76,42.28,10868
01/08/2020 09,34.73,42.28,11064
01/08/2020 10,36.81,42.27,11020
01/08/2020 11,35.59,42.2,11024
01/08/2020 12,34.48,42.05,11041
01/08/2020 13,34.59,41.86,11052
01/08/2020 14,35.25,41.8,11092
01/08/2020 15,33.15,41.76,11080
01/08/2020 16,34.82,41.69,11177
01/08/2020 17,38.74,41.63,11373
01/08/2020 18,208.91,41.8,11503
01/08/2020 19,56.15,41.77,11388
01/08/2020 20,52.58,41.71,11250
01/08/2020 21,42.92,41.7,11078
01/08/2020 22,44.96,41.7,10837
01/08/2020 23,37.96,41.7,10535
01/08/2020 24,37.3,41.71,10269
01/09/2020 01,34.62,41.71,10017
01/09/2020 02,33.34,41.71,9847
01/09/2020 03,33.88,41.72,9815
01/09/2020 04,34.29,41.72,9797
01/09/2020 05,33.42,41.73,9857
01/09/2020 06,35.82,41.74,10071
01/09/2020 07,38.47,41.74,10457
01/09/2020 08,37.08,41.74,10871
01/09/2020 09,42.02,41.75,11081
01/09/2020 10,50.39,41.76,11109
01/09/2020 11,59.86,41.8,11166
01/09/2020 12,69.39,41.84,11179
01/09/2020 13,38.64,41.84,11119
01/09/2020 14,57.94,41.86,11087
01/09/2020 15,39.95,41.85,11080
01/09/2020 16,49.62,41.81,11144
01/09/2020 17,60.6,41.77,11335
01/09/2020 18,135.98,41.62,11509
01/09/2020 19,46.79,41.39,11449
01/09/2020 20,47.82,41.41,11411
01/09/2020 21,51.58,41.42,11357
01/09/2020 22,42.14,41.43,11105
01/09/2020 23,38.54,41.44,10812
01/09/2020 24,38.42,41.45,10517
01/10/2020 01,38.42,41.46,10324
01/10/2020 02,38.24,41.48,10223
01/10/2020 03,37.3,41.49,10186
01/10/2020 04,34.82,41.5,10165
01/10/2020 05,32.23,41.5,10208
01/10/2020 06,29.45,41.5,10368
01/10/2020 07,30.37,41.49,10723
01/10/2020 08,33.89,41.49,11151
01/10/2020 09,35.92,41.47,11288
01/10/2020 10,34.04,41.46,11309
01/10/2020 11,34.49,41.41,11362
01/10/2020 12,34.01,41.22,11341
01/10/2020 13,33.33,41.16,11328
01/10/2020 14,34.4,41.15,11286
01/10/2020 15,34.69,41.1,11232
01/10/2020 16,33.33,41.1,11246
01/10/2020 17,33.2,41.09,11443
01/10/2020 18,33.24,41.08,11493
01/10/2020 19,33.39,41.07,11327
01/10/2020 20,33.28,41.07,11210
01/10/2020 21,33.38,40.68,11128
01/10/2020 22,33.21,40.67,10919
01/10/2020 23,30.48,40.67,10667
01/10/2020 24,29.52,40.66,10406
01/11/2020 01,29.46,40.66,10235
01/11/2020 02,29.48,40.66,10102
01/11/2020 03,29.45,40.65,9980
01/11/2020 04,29.58,40.65,9905
01/11/2020 05,34.64,40.66,10046
01/11/2020 06,34.77,40.66,10141
01/11/2020 07,36.47,40.66,10312
01/11/2020 08,37.16,40.66,10518
01/11/2020 09,37.26,40.66,10772
01/11/2020 10,38.72,40.67,10882
01/11/2020 11,39.23,40.68,10959
01/11/2020 12,76.05,40.74,10998
01/11/2020 13,72.79,40.79,10884
01/11/2020 14,58.37,40.82,10898
