Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
02/27/2020 23,31.64,36.12,9808
02/27/2020 24,29.53,36.11,9519
02/28/2020 01,29.31,36.1,9358
02/28/2020 02,29.89,36.1,9228
02/28/2020 03,29.94,36.09,9161
02/28/2020 04,29.88,36.08,9140
02/28/2020 05,29.84,36.08,9186
02/28/2020 06,29.91,36.07,9430
02/28/2020 07,32.93,36.06,9867
02/28/2020 08,35.98,36.06,10348
02/28/2020 09,35.1,36.05,10383
02/28/2020 10,44.54,36.06,10364
02/28/2020 11,49.67,36.08,10338
02/28/2020 12,48.09,36.11,10358
02/28/2020 13,53.71,36.13,10317
02/28/2020 14,39.32,36.14,10306
02/28/2020 15,36.38,36.14,10248
02/28/2020 16,36.2,36.14,10164
02/28/2020 17,36.17,36.14,10221
02/28/2020 18,36.6,36.14,10331
02/28/2020 19,39.16,36.14,10491
02/28/2020 20,39.14,36.15,10472
02/28/2020 21,36.7,36.15,10346
02/28/2020 22,35.83,36.15,10197
02/28/2020 23,31.68,36.16,9871
02/28/2020 24,29.98,36.16,9712
02/29/2020 01,33.13,36.17,9598
02/29/2020 02,31.75,36.18,9487
02/29/2020 03,29.96,36.18,9409
02/29/2020 04,31.84,36.18,9365
02/29/2020 05,33.48,36.18,9390
02/29/2020 06,33.42,36.18,9511
02/29/2020 07,33.4,36.18,9692
02/29/2020 08,29.85,36.17,9848
02/29/2020 09,32.78,36.17,10056
02/29/2020 10,33.52,36.17,10229
02/29/2020 11,33.45,36.16,10354
02/29/2020 12,33.56,36.16,10388
02/29/2020 13,33.56,36.16,10416
02/29/2020 14,35.35,36.16,10384
02/29/2020 15,35.07,36.14,10320
02/29/2020 16,35.04,36.12,10376
02/29/2020 17,35.16,36.13,10478
02/29/2020 18,36.72,36.12,10613
02/29/2020 19,41.21,36.12,10707
02/29/2020 20,39.71,36.13,10634
02/29/2020 21,38.79,36.14,10467
02/29/2020 22,35.6,36.15,10333
02/29/2020 23,35.3,36.16,10149
02/29/2020 24,35.3,36.16,9945
03/01/2020 01,33.47,36.16,9800
03/01/2020 02,33.43,36.17,9662
03/01/2020 03,29.83,36.17,9527
03/01/2020 04,32.46,36.17,9488
03/01/2020 05,33.45,36.18,9521
03/01/2020 06,34.08,36.18,9586
03/01/2020 07,35.85,36.19,9711
03/01/2020 08,36.3,36.19,9830
03/01/2020 09,37.58,36.2,9943
03/01/2020 10,42.58,36.21,10040
03/01/2020 11,44.67,36.22,10057
03/01/2020 12,39.4,36.23,10020
03/01/2020 13,34.62,36.23,10036
03/01/2020 14,31.85,36.23,10028
03/01/2020 15,26.66,36.21,9979
03/01/2020 16,24.68,36.21,9983
03/01/2020 17,28.33,36.21,10162
03/01/2020 18,33.2,36.21,10396
03/01/2020 19,33.4,36.22,10548
03/01/2020 20,33.37,36.22,10461
03/01/2020 21,33.37,36.23,10313
03/01/2020 22,30.78,36.23,10118
03/01/2020 23,29.8,36.23,9811
03/01/2020 24,29.67,36.23,9521
03/02/2020 01,29.76,36.23,9296
03/02/2020 02,29.67,36.23,9193
03/02/2020 03,29.69,36.23,9202
03/02/2020 04,21.64,36.22,9235
03/02/2020 05,22.72,36.22,9296
03/02/2020 06,29.69,36.22,9523
03/02/2020 07,33.08,36.23,9971
03/02/2020 08,33.47,36.24,10330
03/02/2020 09,33.49,36.25,10430
03/02/2020 10,33.96,36.26,10462
03/02/2020 11,35.96,36.27,10420
03/02/2020 12,36.09,36.28,10375
03/02/2020 13,36.2,36.29,10385
03/02/2020 14,36.69,36.3,10404
03/02/2020 15,36.73,36.32,10359
03/02/2020 16,50,36.34,10340
03/02/2020 17,62.95,36.39,10350
03/02/2020 18,36.02,36.39,10433
03/02/2020 19,35.93,36.4,10499
03/02/2020 20,35.6,36.4,10443
03/02/2020 21,33.06,36.4,10391
03/02/2020 22,29.85,36.4,10193
03/02/2020 23,29.66,36.4,9879
03/02/2020 24,29.64,36.4,9580
03/03/2020 01,23.33,36.39,9384
03/03/2020 02,19.92,36.38,9310
03/03/2020 03,25.33,36.38,9260
03/03/2020 04,29.23,36.38,9284
03/03/2020 05,29.68,36.37,9357
03/03/2020 06,30.48,36.37,9532
03/03/2020 07,29.76,36.37,9940
03/03/2020 08,28.89,36.37,10279
03/03/2020 09,32.03,36.37,10310
03/03/2020 10,32.65,36.38,10318
03/03/2020 11,33.65,36.38,10335
03/03/2020 12,35.78,36.38,10300
03/03/2020 13,33.88,36.38,10217
03/03/2020 14,33.55,36.38,10196
03/03/2020 15,33.87,36.38,10159
03/03/2020 16,33.8,36.38,10152
03/03/2020 17,33.83,36.38,10244
03/03/2020 18,35.22,36.38,10335
03/03/2020 19,33.27,36.38,10399
03/03/2020 20,30.49,36.37,10427
03/03/2020 21,32.78,36.37,10278
03/03/2020 22,31.12,36.37,10114
03/03/2020 23,32.99,36.37,9796
03/03/2020 24,32.81,36.37,9579
03/04/2020 01,31.82,36.37,9415
03/04/2020 02,29.57,36.36,9272
03/04/2020 03,28.87,36.36,9222
03/04/2020 04,28.5,36.35,9240
03/04/2020 05,29.37,36.35,9297
03/04/2020 06,29.5,36.34,9442
03/04/2020 07,32.98,36.34,9857
03/04/2020 08,49.28,36.36,10200
03/04/2020 09,67.96,36.41,10213
03/04/2020 10,36.57,36.42,10279
03/04/2020 11,29.01,36.41,10289
03/04/2020 12,32.73,36.4,10272
03/04/2020 13,29.85,36.39,10240
03/04/2020 14,33.7,36.39,10265
03/04/2020 15,34.8,36.38,10272
03/04/2020 16,35.3,36.37,10321
03/04/2020 17,35.31,36.36,10437
03/04/2020 18,37.4,36.3,10478
03/04/2020 19,34.95,36.23,10517
03/04/2020 20,37.45,36.17,10530
03/04/2020 21,42.36,36.18,10416
03/04/2020 22,48.76,36.2,10196
03/04/2020 23,34.77,36.2,9906
03/04/2020 24,34.77,36.2,9639
03/05/2020 01,37.82,36.2,9465
03/05/2020 02,37.88,36.21,9408
03/05/2020 03,37.02,36.22,9379
03/05/2020 04,38.84,36.24,9391
03/05/2020 05,38.61,36.25,9485
03/05/2020 06,37.96,36.26,9685
03/05/2020 07,37.96,36.27,10098
03/05/2020 08,34.43,36.27,10456
03/05/2020 09,32.49,36.27,10510
03/05/2020 10,32.89,36.26,10543
03/05/2020 11,33.37,36.27,10479
03/05/2020 12,34,36.27,10463
03/05/2020 13,33.49,36.27,10433
03/05/2020 14,33.39,36.27,10421
03/05/2020 15,32.62,36.27,10392
03/05/2020 16,32.91,36.27,10396
03/05/2020 17,33.08,36.28,10475
03/05/2020 18,30.13,36.27,10430
03/05/2020 19,29.95,36.27,10451
03/05/2020 20,29.92,36.27,10468
03/05/2020 21,29.89,36.27,10382
03/05/2020 22,32.52,36.28,10236
03/05/2020 23,33.29,36.28,9961
03/05/2020 24,31.27,36.29,9664
03/06/2020 01,32.31,36.31,9475
03/06/2020 02,32.3,36.32,9386
03/06/2020 03,29.78,36.34,9313
03/06/2020 04,29.66,36.35,9302
03/06/2020 05,29.64,36.36,9329
03/06/2020 06,29.82,36.37,9608
03/06/2020 07,33.31,36.37,10007
03/06/2020 08,35.16,36.38,10281
03/06/2020 09,35.26,36.38,10409
03/06/2020 10,35.31,36.38,10478
03/06/2020 11,35.5,36.39,10507
03/06/2020 12,34.46,36.39,10513
03/06/2020 13,34.51,36.39,10472
03/06/2020 14,32.9,36.39,10447
03/06/2020 15,32.69,36.39,10421
03/06/2020 16,32.65,36.39,10473
03/06/2020 17,32.65,36.38,10507
03/06/2020 18,33.7,36.38,10554
03/06/2020 19,33.62,36.38,10587
03/06/2020 20,34.41,36.38,10584
03/06/2020 21,34.48,36.39,10501
03/06/2020 22,34.87,36.39,10399
03/06/2020 23,35.07,36.4,10193
03/06/2020 24,34.37,36.42,9968
03/07/2020 01,32.72,36.43,9789
03/07/2020 02,32.59,36.45,9659
03/07/2020 03,32.46,36.46,9539
03/07/2020 04,32.57,36.48,9530
03/07/2020 05,32.57,36.49,9560
03/07/2020 06,32.95,36.5,9594
03/07/2020 07,34.71,36.51,9765
03/07/2020 08,32.48,36.51,9907
03/07/2020 09,35.8,36.51,10182
03/07/2020 10,36.97,36.51,10396
03/07/2020 11,37.97,36.51,10448
03/07/2020 12,35.5,36.51,10470
03/07/2020 13,34.22,36.51,10467
03/07/2020 14,34.35,36.51,10469
03/07/2020 15,34.2,36.51,10474
03/07/2020 16,34.89,36.51,10485
03/07/2020 17,36.39,36.51,10564
03/07/2020 18,36.46,36.49,10609
03/07/2020 19,36.47,36.47,10616
03/07/2020 20,85.14,36.54,10531
03/07/2020 21,49.32,36.55,10532
03/07/2020 22,34.04,36.55,10451
03/07/2020 23,34.05,36.55,10260
03/07/2020 24,34.27,36.55,10011
03/08/2020 01,34.99,36.55,9854
03/08/2020 03,33.19,36.56,9683
03/08/2020 04,32.57,36.56,9574
03/08/2020 05,32.56,36.56,9612
03/08/2020 06,33.75,36.56,9671
03/08/2020 07,36.41,36.57,9784
03/08/2020 08,33.11,36.57,9942
03/08/2020 09,36.62,36.57,10033
03/08/2020 10,36.87,36.58,10210
03/08/2020 11,36.86,36.58,10214
03/08/2020 12,34.89,36.58,10216
03/08/2020 13,32.95,36.58,10223
03/08/2020 14,32.62,36.57,10176
03/08/2020 15,32.63,36.57,10135
03/08/2020 16,32.64,36.57,10169
03/08/2020 17,32.65,36.57,10221
03/08/2020 18,33.96,36.56,10342
03/08/2020 19,36.19,36.56,10326
03/08/2020 20,34.73,36.57,10485
03/08/2020 21,34.72,36.57,10504
03/08/2020 22,33.23,36.57,10432
03/08/2020 23,33.22,36.57,10198
03/08/2020 24,34.34,36.57,9867
03/09/2020 01,33.15,36.57,9688
03/09/2020 02,32.46,36.57,9569
03/09/2020 03,32.39,36.58,9487
03/09/2020 04,32.2,36.58,9525
03/09/2020 05,30.02,36.58,9634
03/09/2020 06,33.58,36.59,9859
03/09/2020 07,38.51,36.6,10297
03/09/2020 08,39.07,36.62,10636
03/09/2020 09,36.98,36.63,10638
03/09/2020 10,38.37,36.64,10631
03/09/2020 11,43.4,36.66,10607
03/09/2020 12,35.43,36.67,10589
03/09/2020 13,35.68,36.67,10564
03/09/2020 14,36.03,36.68,10531
03/09/2020 15,35.4,36.69,10452
03/09/2020 16,35.47,36.7,10390
03/09/2020 17,43.03,36.72,10424
03/09/2020 18,34.66,36.72,10420
03/09/2020 19,33.36,36.72,10380
03/09/2020 20,32.99,36.72,10374
03/09/2020 21,35.06,36.72,10476
03/09/2020 22,35.05,36.72,10425
03/09/2020 23,32.67,36.72,10183
03/09/2020 24,33.14,36.72,9860
03/10/2020 01,31.99,36.71,9667
03/10/2020 02,28.75,36.71,9492
03/10/2020 03,25.35,36.71,9429
03/10/2020 04,31.26,36.71,9470
03/10/2020 05,33.31,36.73,9533
03/10/2020 06,33.82,36.75,9716
03/10/2020 07,34.1,36.76,10111
03/10/2020 08,34.97,36.78,10450
03/10/2020 09,33.88,36.8,10444
03/10/2020 10,33.86,36.81,10420
03/10/2020 11,34.24,36.82,10403
03/10/2020 12,34.33,36.82,10433
03/10/2020 13,30.76,36.83,10367
03/10/2020 14,35.31,36.84,10266
03/10/2020 15,35.2,36.84,10226
03/10/2020 16,35.34,36.84,10253
03/10/2020 17,35.66,36.85,10337
03/10/2020 18,34.21,36.86,10306
03/10/2020 19,31.57,36.85,10209
03/10/2020 20,30.91,36.84,10319
03/10/2020 21,30.51,36.84,10380
03/10/2020 22,29.57,36.83,10242
03/10/2020 23,30.91,36.83,9952
03/10/2020 24,29.56,36.83,9646
03/11/2020 01,29.45,36.83,9469
03/11/2020 02,29.48,36.83,9371
03/11/2020 03,29.37,36.83,9327
03/11/2020 04,29.41,36.83,9321
03/11/2020 05,29.28,36.83,9383
03/11/2020 06,30.41,36.83,9569
03/11/2020 07,33.89,36.83,9937
03/11/2020 08,32.1,36.83,10393
03/11/2020 09,30.99,36.83,10351
03/11/2020 10,31.94,36.82,10400
03/11/2020 11,34.91,36.82,10425
03/11/2020 12,36.16,36.81,10448
03/11/2020 13,36.26,36.81,10399
03/11/2020 14,37.1,36.81,10414
03/11/2020 15,40.82,36.8,10393
03/11/2020 16,46.17,36.81,10420
03/11/2020 17,43.6,36.82,10440
03/11/2020 18,69.3,36.87,10385
03/11/2020 19,74.7,36.92,10335
03/11/2020 20,74.92,36.98,10423
03/11/2020 21,73.67,37.05,10443
03/11/2020 22,51.36,37.08,10338
03/11/2020 23,36.23,37.09,10024
03/11/2020 24,34.97,37.1,9683
03/12/2020 01,36.41,37.11,9474
03/12/2020 02,35.87,37.12,9404
03/12/2020 03,34.98,37.14,9352
03/12/2020 04,34.35,37.15,9354
03/12/2020 05,35.15,37.16,9416
03/12/2020 06,36.6,37.18,9591
03/12/2020 07,37.31,37.19,9982
03/12/2020 08,63.54,37.24,10465
03/12/2020 09,51,37.27,10517
03/12/2020 10,46.4,37.29,10518
03/12/2020 11,88.19,37.36,10485
03/12/2020 12,90.8,37.44,10497
03/12/2020 13,103.98,37.54,10453
03/12/2020 14,44.04,37.56,10483
03/12/2020 15,47.19,37.58,10487
03/12/2020 16,39.54,37.59,10494
03/12/2020 17,72.44,37.65,10522
03/12/2020 18,70.12,37.7,10547
03/12/2020 19,38.71,37.71,10509
03/12/2020 20,36.61,37.71,10545
03/12/2020 21,36.53,37.72,10587
03/12/2020 22,35.51,37.72,10501
03/12/2020 23,37.86,37.73,10240
03/12/2020 24,34.62,37.75,9971
03/13/2020 01,34.35,37.76,9783
03/13/2020 02,34.31,37.78,9736
03/13/2020 03,34.23,37.79,9670
03/13/2020 04,34.29,37.8,9692
03/13/2020 05,35.03,37.8,9776
03/13/2020 06,34.44,37.8,9916
03/13/2020 07,35.4,37.8,10307
03/13/2020 08,36.6,37.8,10600
03/13/2020 09,36.52,37.81,10623
03/13/2020 10,36.55,37.81,10710
03/13/2020 11,37.73,37.81,10715
03/13/2020 12,38.53,37.77,10748
03/13/2020 13,36.54,37.74,10713
03/13/2020 14,36.18,37.72,10716
03/13/2020 15,36.18,37.72,10663
03/13/2020 16,36.22,37.72,10672
03/13/2020 17,41.64,37.73,10700
03/13/2020 18,40.32,37.74,10719
03/13/2020 19,37.68,37.74,10695
03/13/2020 20,37.79,37.74,10744
03/13/2020 21,37.93,37.75,10785
03/13/2020 22,38.49,37.75,10661
03/13/2020 23,37.99,37.75,10415
03/13/2020 24,42.35,37.77,10175
03/14/2020 01,39.86,37.78,10063
03/14/2020 02,36.74,37.79,9948
03/14/2020 03,36.17,37.8,9903
03/14/2020 04,36.15,37.81,9887
03/14/2020 05,36.22,37.82,9904
03/14/2020 06,36.14,37.83,9944
03/14/2020 07,36.06,37.84,10090
03/14/2020 08,35.51,37.85,10255
03/14/2020 09,36.12,37.85,10354
03/14/2020 10,36.17,37.85,10572
03/14/2020 11,36.35,37.86,10714
03/14/2020 12,37.45,37.86,10748
03/14/2020 13,37.72,37.87,10756
03/14/2020 14,37.75,37.88,10711
03/14/2020 15,37.69,37.89,10665
03/14/2020 16,37.62,37.9,10663
03/14/2020 17,37.77,37.91,10711
03/14/2020 18,43.19,37.93,10724
03/14/2020 19,49.77,37.95,10666
03/14/2020 20,70.67,38,10688
03/14/2020 21,85.31,38.08,10720
03/14/2020 22,71.04,38.13,10621
03/14/2020 23,48.76,38.15,10443
03/14/2020 24,46.6,38.17,10168
03/15/2020 01,51.47,38.2,9976
03/15/2020 02,49.62,38.23,9911
03/15/2020 03,49.62,38.26,9887
03/15/2020 04,49.62,38.29,9844
03/15/2020 05,49.4,38.32,9874
03/15/2020 06,47.29,38.35,9939
03/15/2020 07,40.9,38.36,10057
03/15/2020 08,57.09,38.4,10201
03/15/2020 09,40.65,38.41,10269
03/15/2020 10,82.96,38.48,10446
03/15/2020 11,91.36,38.56,10469
03/15/2020 12,91.32,38.64,10462
03/15/2020 13,92.51,38.72,10447
03/15/2020 14,86.37,38.79,10315
03/15/2020 15,81.12,38.86,10200
03/15/2020 16,68.76,38.91,10242
03/15/2020 17,79.4,38.97,10271
03/15/2020 18,71.46,39.02,10364
03/15/2020 19,73.42,39.08,10390
03/15/2020 20,83.71,39.14,10448
03/15/2020 21,84.5,39.21,10566
03/15/2020 22,37.21,39.22,10509
03/15/2020 23,37.22,39.22,10290
03/15/2020 24,40.51,39.23,9989
03/16/2020 01,41.73,39.24,9803
03/16/2020 02,40.3,39.26,9702
03/16/2020 03,39.34,39.27,9651
03/16/2020 04,38.64,39.28,9655
03/16/2020 05,39.49,39.29,9682
03/16/2020 06,45,39.31,9840
03/16/2020 07,48.81,39.33,10129
03/16/2020 08,38.14,39.33,10506
03/16/2020 09,60.22,39.37,10599
03/16/2020 10,55.66,39.4,10607
03/16/2020 11,80.93,39.46,10609
03/16/2020 12,80.72,39.52,10557
03/16/2020 13,80.52,39.59,10485
03/16/2020 14,52.12,39.62,10478
03/16/2020 15,51.88,39.64,10410
03/16/2020 16,50.27,39.67,10377
03/16/2020 17,68.02,39.73,10340
03/16/2020 18,70.4,39.78,10343
03/16/2020 19,50.92,39.81,10230
03/16/2020 20,49.78,39.83,10249
03/16/2020 21,50.56,39.85,10405
03/16/2020 22,35.19,39.86,10261
03/16/2020 23,32.31,39.86,9997
03/16/2020 24,31.2,39.86,9712
03/17/2020 01,31.33,39.86,9533
03/17/2020 02,28.49,39.85,9408
03/17/2020 03,31.31,39.85,9333
03/17/2020 04,31.33,39.85,9331
03/17/2020 05,31.43,39.84,9389
03/17/2020 06,32.36,39.84,9532
03/17/2020 07,33.92,39.84,9848
03/17/2020 08,36.54,39.84,10236
03/17/2020 09,35.34,39.84,10354
03/17/2020 10,38.45,39.85,10431
03/17/2020 11,34.92,39.85,10434
03/17/2020 12,34,39.85,10467
03/17/2020 13,34.67,39.85,10498
03/17/2020 14,35.94,39.85,10493
03/17/2020 15,34.78,39.85,10464
03/17/2020 16,34.58,39.85,10471
03/17/2020 17,34,39.85,10486
03/17/2020 18,36.16,39.85,10463
03/17/2020 19,40.48,39.85,10363
03/17/2020 20,47.17,39.84,10412
03/17/2020 21,62.05,39.85,10460
03/17/2020 22,47.42,39.87,10325
03/17/2020 23,38.32,39.87,10099
03/17/2020 24,38.37,39.87,9828
03/18/2020 01,37.6,39.88,9666
03/18/2020 02,37.44,39.88,9575
03/18/2020 03,37.44,39.89,9526
03/18/2020 04,37.08,39.89,9512
03/18/2020 05,37.56,39.9,9558
03/18/2020 06,37.56,39.91,9678
03/18/2020 07,41.17,39.93,10006
03/18/2020 08,38.03,39.94,10354
03/18/2020 09,40.95,39.95,10512
03/18/2020 10,41.57,39.96,10556
03/18/2020 11,49.07,39.98,10602
03/18/2020 12,36.94,39.98,10551
03/18/2020 13,37.88,39.99,10508
03/18/2020 14,38.08,39.99,10493
03/18/2020 15,215.9,40.25,10405
03/18/2020 16,88.69,40.32,10288
03/18/2020 17,107.96,40.42,10313
03/18/2020 18,48.78,40.42,10411
03/18/2020 19,143.23,40.49,10257
03/18/2020 20,141.81,40.56,10253
03/18/2020 21,86.96,40.58,10334
03/18/2020 22,245.61,40.84,10160
03/18/2020 23,51,40.86,9987
03/18/2020 24,55.02,40.88,9787
03/19/2020 01,34.12,40.88,9681
03/19/2020 02,34.41,40.89,9590
03/19/2020 03,34.58,40.89,9524
03/19/2020 04,36.84,40.89,9586
03/19/2020 05,37.74,40.89,9667
03/19/2020 06,39.44,40.9,9805
03/19/2020 07,73.84,40.95,10021
03/19/2020 08,56.07,40.96,10444
03/19/2020 09,84.94,40.78,10578
03/19/2020 10,67.5,40.63,10519
03/19/2020 11,42.19,40.46,10467
03/19/2020 12,742.5,40.77,10363
03/19/2020 13,742.11,40.87,10322
03/19/2020 14,645,41.7,10320
03/19/2020 15,43.53,41.69,10313
03/19/2020 16,36.4,41.69,10356
03/19/2020 17,35.01,41.67,10403
03/19/2020 18,32.91,41.58,10447
03/19/2020 19,32.91,41.49,10380
03/19/2020 20,32.88,41.45,10435
03/19/2020 21,32.91,41.43,10556
03/19/2020 22,32.88,41.41,10410
03/19/2020 23,32.51,41.41,10213
03/19/2020 24,32.88,41.41,9971
03/20/2020 01,28.96,41.39,9800
03/20/2020 02,30.86,41.38,9734
03/20/2020 03,30.25,41.38,9680
03/20/2020 04,28.91,41.37,9685
03/20/2020 05,28.91,41.36,9717
03/20/2020 06,28.91,41.35,9834
03/20/2020 07,29.44,41.35,10099
03/20/2020 08,32.88,41.34,10417
03/20/2020 09,32.9,41.33,10530
03/20/2020 10,32.91,41.33,10569
03/20/2020 11,71.83,41.37,10514
03/20/2020 12,94.88,41.42,10421
03/20/2020 13,90.55,41.47,10356
03/20/2020 14,49.1,41.46,10433
03/20/2020 15,50.55,41.47,10380
03/20/2020 16,44.3,41.47,10265
03/20/2020 17,32.91,41.46,10274
03/20/2020 18,32.91,41.46,10277
03/20/2020 19,32.91,41.46,10181
03/20/2020 20,32.89,41.46,10171
03/20/2020 21,50,41.48,10298
03/20/2020 22,45.16,41.49,10174
03/20/2020 23,32.91,41.5,9961
03/20/2020 24,32.91,41.5,9765
03/21/2020 01,34.84,41.51,9568
03/21/2020 02,33.29,41.51,9491
03/21/2020 03,35.77,41.52,9431
03/21/2020 04,32.91,41.52,9392
03/21/2020 05,34.85,41.53,9393
03/21/2020 06,37.91,41.54,9468
03/21/2020 07,39.13,41.55,9589
03/21/2020 08,32.89,41.55,9715
03/21/2020 09,29.2,41.54,9802
03/21/2020 10,32.91,41.54,9912
03/21/2020 11,32.91,41.53,9917
03/21/2020 12,39,41.54,9932
03/21/2020 13,45.34,41.55,9938
03/21/2020 14,46.06,41.57,9906
03/21/2020 15,38.79,41.58,9863
03/21/2020 16,37.67,41.58,9816
03/21/2020 17,39.06,41.59,9837
03/21/2020 18,40.44,41.6,9938
03/21/2020 19,42.01,41.61,9943
03/21/2020 20,32.91,41.61,9948
03/21/2020 21,37.84,41.61,10053
03/21/2020 22,35.78,41.61,9961
03/21/2020 23,37.89,41.62,9729
03/21/2020 24,38.29,41.63,9348
03/22/2020 01,32.91,41.63,9176
03/22/2020 02,32.91,41.64,9066
03/22/2020 03,32.9,41.65,9006
03/22/2020 04,32.88,41.66,9038
03/22/2020 05,32.88,41.66,9019
03/22/2020 06,32.88,41.67,9135
03/22/2020 07,32.88,41.68,9223
03/22/2020 08,32.9,41.68,9306
03/22/2020 09,32.91,41.68,9329
03/22/2020 10,32.91,41.68,9415
03/22/2020 11,32.89,41.68,9501
03/22/2020 12,32.88,41.68,9578
03/22/2020 13,32.91,41.67,9617
03/22/2020 14,32.91,41.67,9551
03/22/2020 15,32.88,41.67,9483
03/22/2020 16,32.9,41.67,9502
03/22/2020 17,33.53,41.67,9592
03/22/2020 18,46.41,41.7,9777
03/22/2020 19,50.54,41.72,9759
03/22/2020 20,33.91,41.72,9709
03/22/2020 21,37.22,41.72,9842
03/22/2020 22,32.22,41.73,9685
03/22/2020 23,28.69,41.72,9465
03/22/2020 24,27.76,41.72,9237
03/23/2020 01,28.01,41.72,9088
03/23/2020 02,28.55,41.73,9018
03/23/2020 03,28.91,41.73,9013
03/23/2020 04,28.91,41.73,9005
03/23/2020 05,28.91,41.73,9123
03/23/2020 06,30.49,41.73,9309
03/23/2020 07,32.87,41.73,9617
03/23/2020 08,32.87,41.73,9954
03/23/2020 09,32.88,41.73,10120
03/23/2020 10,36.91,41.74,10186
03/23/2020 11,34.84,41.75,10228
03/23/2020 12,40.5,41.76,10242
03/23/2020 13,32.89,41.76,10206
03/23/2020 14,33.29,41.77,10158
03/23/2020 15,32.88,41.77,10137
03/23/2020 16,32.88,41.78,10112
03/23/2020 17,32.86,41.78,10194
03/23/2020 18,32.86,41.78,10264
03/23/2020 19,30.36,41.75,10134
03/23/2020 20,29.53,41.7,10150
03/23/2020 21,28.91,41.67,10233
03/23/2020 22,31.1,41.66,10094
03/23/2020 23,30.78,41.66,9797
03/23/2020 24,31.41,41.65,9509
03/24/2020 01,32,41.65,9322
03/24/2020 02,30.29,41.65,9201
03/24/2020 03,28.9,41.64,9144
03/24/2020 04,28.91,41.63,9132
03/24/2020 05,28.91,41.63,9148
03/24/2020 06,31.6,41.62,9317
03/24/2020 07,32.9,41.62,9660
03/24/2020 08,32.91,41.62,9947
03/24/2020 09,36.11,41.63,10126
03/24/2020 10,43.68,41.64,10264
03/24/2020 11,79.84,41.7,10305
03/24/2020 12,77.65,41.76,10367
03/24/2020 13,92.54,41.84,10358
03/24/2020 14,111.21,41.95,10327
03/24/2020 15,87.49,42.03,10228
03/24/2020 16,64.02,42.08,10254
03/24/2020 17,50.49,42.1,10345
03/24/2020 18,33.16,42.1,10360
03/24/2020 19,33.9,42.09,10237
03/24/2020 20,32.91,42.08,10188
03/24/2020 21,37.4,42.08,10303
03/24/2020 22,52.49,42.11,10094
03/24/2020 23,32.89,42.11,9833
03/24/2020 24,32.88,42.11,9580
03/25/2020 01,32.9,42.11,9394
03/25/2020 02,32.88,42.11,9297
03/25/2020 03,32.88,42.11,9261
03/25/2020 04,32.91,42.12,9295
03/25/2020 05,32.91,42.12,9316
03/25/2020 06,32.77,42.12,9459
03/25/2020 07,32.88,42.13,9758
03/25/2020 08,33.53,42.13,10024
03/25/2020 09,41.22,42.12,10213
03/25/2020 10,37.67,42.11,10290
03/25/2020 11,37.18,42.06,10291
03/25/2020 12,39.97,42.03,10323
03/25/2020 13,42.8,42.04,10314
03/25/2020 14,46.46,42.04,10253
03/25/2020 15,41.86,42.05,10168
03/25/2020 16,41.14,42.05,10150
03/25/2020 17,39.97,42.06,10166
03/25/2020 18,42.35,42.07,10189
03/25/2020 19,40.45,42.07,10056
03/25/2020 20,37.86,42.01,10003
03/25/2020 21,39.97,41.99,10158
03/25/2020 22,35.64,42,10045
03/25/2020 23,32.89,42,9744
03/25/2020 24,31.41,41.99,9529
03/26/2020 01,29.9,41.98,9304
03/26/2020 02,28.9,41.98,9254
03/26/2020 03,28.9,41.97,9206
03/26/2020 04,28.91,41.96,9209
03/26/2020 05,28.91,41.95,9221
03/26/2020 06,29.78,41.95,9307
03/26/2020 07,32.45,41.94,9578
03/26/2020 08,32.41,41.93,9783
03/26/2020 09,32.87,41.93,9971
03/26/2020 10,32.88,41.93,10107
03/26/2020 11,32.91,41.92,10143
03/26/2020 12,32.91,41.92,10215
03/26/2020 13,32.91,41.92,10208
03/26/2020 14,32.91,41.92,10155
03/26/2020 15,32.88,41.92,10060
03/26/2020 16,32.19,41.93,10013
03/26/2020 17,31.67,41.93,10028
03/26/2020 18,34.61,41.93,10065
03/26/2020 19,34.69,41.93,9927
03/26/2020 20,33.22,41.93,9852
03/26/2020 21,34.02,41.93,9957
03/26/2020 22,31.52,41.93,9851
03/26/2020 23,28.06,41.93,9560
03/26/2020 24,23.58,41.92,9291
03/27/2020 01,26.33,41.91,9150
03/27/2020 02,29.7,41.91,9094
03/27/2020 03,33.18,41.92,9049
03/27/2020 04,34.83,41.93,9025
03/27/2020 05,36,41.94,9066
03/27/2020 06,35.95,41.95,9216
03/27/2020 07,36.19,41.96,9507
03/27/2020 08,36.31,41.97,9768
03/27/2020 09,36.38,41.97,9976
03/27/2020 10,37.33,41.98,10087
03/27/2020 11,37.56,41.98,10153
03/27/2020 12,34.69,41.98,10188
03/27/2020 13,34.55,41.99,10148
03/27/2020 14,34.36,41.99,10085
03/27/2020 15,34.21,41.99,9951
03/27/2020 16,34.11,41.99,9882
03/27/2020 17,34.6,41.99,9936
03/27/2020 18,34.69,41.99,9967
03/27/2020 19,34.44,41.99,9802
03/27/2020 20,31.3,41.99,9721
03/27/2020 21,28.98,41.98,9829
03/27/2020 22,28.19,41.97,9743
03/27/2020 23,20.91,41.95,9528
03/27/2020 24,26.35,41.95,9279
03/28/2020 01,19.57,41.93,9095
03/28/2020 02,20.82,41.92,8989
03/28/2020 03,18.08,41.92,8925
