,Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
230,03/10/2022 15,80.07,105.27,10845.0
231,03/10/2022 16,175.72,105.45,10860.0
232,03/10/2022 17,111.41,105.55,10912.0
233,03/10/2022 18,104.58,105.62,10909.0
234,03/10/2022 19,78.66,105.65,10951.0
235,03/10/2022 20,79.52,105.69,11025.0
236,03/10/2022 21,93.04,105.76,11012.0
237,03/10/2022 22,91.31,105.8,10924.0
238,03/10/2022 23,77.13,105.83,10612.0
239,03/10/2022 24,112.39,105.92,10335.0
240,03/11/2022 01,78.75,105.97,10195.0
241,03/11/2022 02,76.93,106.02,10100.0
242,03/11/2022 03,76.54,106.08,10074.0
243,03/11/2022 04,75.71,106.13,10076.0
244,03/11/2022 05,75.01,106.18,10146.0
245,03/11/2022 06,75.44,106.23,10288.0
246,03/11/2022 07,76.94,106.27,10607.0
247,03/11/2022 08,78.83,106.29,10877.0
248,03/11/2022 09,53.12,106.29,10998.0
249,03/11/2022 10,38.57,106.27,10956.0
250,03/11/2022 11,36.13,106.25,10930.0
251,03/11/2022 12,33.56,106.21,10884.0
252,03/11/2022 13,36.14,106.16,10893.0
253,03/11/2022 14,54.81,106.14,10931.0
254,03/11/2022 15,46.86,106.11,10821.0
255,03/11/2022 16,61.62,106.11,10831.0
256,03/11/2022 17,49.41,106.11,10807.0
257,03/11/2022 18,48.26,106.12,10834.0
258,03/11/2022 19,55.85,106.14,10844.0
259,03/11/2022 20,60.16,106.17,10861.0
260,03/11/2022 21,63.82,106.2,10708.0
261,03/11/2022 22,73.61,106.25,10524.0
262,03/11/2022 23,52.2,106.27,10293.0
263,03/11/2022 24,46.89,106.28,10021.0
264,03/12/2022 01,53.45,106.3,9818.0
265,03/12/2022 02,50.34,106.32,9706.0
266,03/12/2022 03,37.84,106.33,9589.0
267,03/12/2022 04,43.18,106.34,9558.0
268,03/12/2022 05,52.2,106.36,9589.0
269,03/12/2022 06,49.5,106.36,9697.0
270,03/12/2022 07,55.07,106.35,9836.0
271,03/12/2022 08,53.39,106.35,9952.0
272,03/12/2022 09,51.75,106.36,10141.0
273,03/12/2022 10,52.78,106.37,10245.0
274,03/12/2022 11,39.27,106.35,10285.0
275,03/12/2022 12,39.65,106.32,10290.0
276,03/12/2022 13,46.7,106.32,10253.0
277,03/12/2022 14,70.73,106.36,10179.0
278,03/12/2022 15,73.11,106.41,10149.0
279,03/12/2022 16,70.67,106.45,10130.0
280,03/12/2022 17,70.68,106.48,10242.0
281,03/12/2022 18,72.3,106.35,10347.0
282,03/12/2022 19,83.78,106.07,10421.0
283,03/12/2022 20,104.17,105.86,10511.0
284,03/12/2022 21,121.63,105.68,10471.0
285,03/12/2022 22,75.5,105.67,10314.0
286,03/12/2022 23,70.64,105.56,10065.0
287,03/12/2022 24,93.37,105.6,9841.0
288,03/13/2022 01,71.27,105.61,9644.0
289,03/13/2022 03,66.52,105.57,9537.0
290,03/13/2022 04,65.91,105.45,9515.0
291,03/13/2022 05,71.78,105.45,9489.0
292,03/13/2022 06,73.0,105.48,9516.0
293,03/13/2022 07,73.3,105.47,9646.0
294,03/13/2022 08,71.76,105.5,9794.0
295,03/13/2022 09,72.54,105.53,9888.0
296,03/13/2022 10,70.06,105.56,10052.0
297,03/13/2022 11,69.57,105.58,10222.0
298,03/13/2022 12,70.08,105.6,10314.0
299,03/13/2022 13,71.36,105.63,10295.0
300,03/13/2022 14,71.25,105.66,10229.0
301,03/13/2022 15,67.7,105.69,10247.0
302,03/13/2022 16,65.13,105.71,10284.0
303,03/13/2022 17,58.75,105.66,10426.0
304,03/13/2022 18,67.03,105.54,10599.0
305,03/13/2022 19,68.59,105.02,10588.0
306,03/13/2022 20,71.76,104.36,10641.0
307,03/13/2022 21,71.0,104.06,10729.0
308,03/13/2022 22,66.12,104.08,10589.0
309,03/13/2022 23,56.46,104.11,10346.0
310,03/13/2022 24,55.33,104.14,10035.0
311,03/14/2022 01,82.27,104.21,9827.0
312,03/14/2022 02,69.49,104.26,9726.0
313,03/14/2022 03,67.46,104.29,9654.0
314,03/14/2022 04,64.91,104.33,9688.0
315,03/14/2022 05,52.66,104.35,9745.0
316,03/14/2022 06,54.93,104.39,9948.0
317,03/14/2022 07,64.9,104.43,10347.0
318,03/14/2022 08,73.52,104.48,10827.0
319,03/14/2022 09,74.13,104.52,10937.0
320,03/14/2022 10,78.26,104.54,10981.0
321,03/14/2022 11,78.62,104.55,10952.0
322,03/14/2022 12,63.52,104.55,10860.0
323,03/14/2022 13,73.0,104.57,10852.0
324,03/14/2022 14,61.3,104.54,10745.0
325,03/14/2022 15,56.6,104.49,10642.0
326,03/14/2022 16,48.53,104.47,10594.0
327,03/14/2022 17,49.4,104.46,10589.0
328,03/14/2022 18,47.99,104.45,10551.0
329,03/14/2022 19,49.24,104.45,10387.0
330,03/14/2022 20,52.97,104.47,10384.0
331,03/14/2022 21,61.19,104.51,10469.0
332,03/14/2022 22,64.88,104.54,10294.0
333,03/14/2022 23,59.96,104.57,10035.0
334,03/14/2022 24,55.75,104.61,9797.0
335,03/15/2022 01,48.78,104.64,9618.0
336,03/15/2022 02,68.69,104.69,9468.0
337,03/15/2022 03,105.85,104.8,9369.0
338,03/15/2022 04,106.12,104.9,9337.0
339,03/15/2022 05,81.89,104.98,9419.0
340,03/15/2022 06,125.69,105.11,9557.0
341,03/15/2022 07,70.98,105.17,9970.0
342,03/15/2022 08,57.69,105.2,10463.0
343,03/15/2022 09,65.31,105.21,10549.0
344,03/15/2022 10,66.27,105.18,10562.0
345,03/15/2022 11,56.71,105.15,10544.0
346,03/15/2022 12,54.88,105.14,10499.0
347,03/15/2022 13,51.94,105.12,10479.0
348,03/15/2022 14,49.9,105.1,10483.0
349,03/15/2022 15,61.34,105.1,10419.0
350,03/15/2022 16,55.46,105.1,10379.0
351,03/15/2022 17,60.55,105.09,10453.0
352,03/15/2022 18,58.45,105.02,10513.0
353,03/15/2022 19,60.82,104.86,10413.0
354,03/15/2022 20,58.49,104.52,10464.0
355,03/15/2022 21,86.11,104.32,10527.0
356,03/15/2022 22,63.96,104.25,10306.0
357,03/15/2022 23,63.35,104.22,9972.0
358,03/15/2022 24,50.03,104.17,9674.0
359,03/16/2022 01,48.37,104.15,9507.0
360,03/16/2022 02,51.11,104.13,9403.0
361,03/16/2022 03,49.24,104.13,9377.0
362,03/16/2022 04,47.85,104.14,9383.0
363,03/16/2022 05,47.39,104.15,9423.0
364,03/16/2022 06,38.03,104.16,9612.0
365,03/16/2022 07,67.49,104.18,9964.0
366,03/16/2022 08,65.93,104.18,10387.0
367,03/16/2022 09,65.32,104.18,10426.0
368,03/16/2022 10,55.38,104.14,10425.0
369,03/16/2022 11,44.5,104.08,10389.0
370,03/16/2022 12,53.75,103.86,10444.0
371,03/16/2022 13,56.41,103.85,10376.0
372,03/16/2022 14,64.07,103.84,10283.0
373,03/16/2022 15,66.82,103.82,10207.0
374,03/16/2022 16,64.42,103.83,10212.0
375,03/16/2022 17,67.2,103.83,10237.0
376,03/16/2022 18,80.91,103.46,10297.0
377,03/16/2022 19,60.43,102.98,10178.0
378,03/16/2022 20,68.16,102.53,10196.0
379,03/16/2022 21,135.78,102.2,10385.0
380,03/16/2022 22,72.16,101.94,10204.0
381,03/16/2022 23,54.09,101.93,9926.0
382,03/16/2022 24,48.44,101.91,9657.0
383,03/17/2022 01,46.4,101.84,9505.0
384,03/17/2022 02,44.99,101.81,9408.0
385,03/17/2022 03,48.34,101.79,9363.0
386,03/17/2022 04,61.04,101.78,9359.0
387,03/17/2022 05,48.83,101.75,9433.0
388,03/17/2022 06,48.6,101.73,9621.0
389,03/17/2022 07,71.22,101.74,9967.0
390,03/17/2022 08,165.47,101.88,10314.0
391,03/17/2022 09,73.95,101.89,10373.0
392,03/17/2022 10,68.34,101.9,10317.0
393,03/17/2022 11,64.37,101.87,10286.0
394,03/17/2022 12,63.95,101.86,10265.0
395,03/17/2022 13,58.45,101.84,10201.0
396,03/17/2022 14,57.1,101.58,10148.0
397,03/17/2022 15,48.5,101.11,10126.0
398,03/17/2022 16,62.82,100.62,10154.0
399,03/17/2022 17,64.4,100.09,10196.0
400,03/17/2022 18,65.73,99.01,10188.0
401,03/17/2022 19,58.17,97.95,10085.0
402,03/17/2022 20,63.2,96.92,10086.0
403,03/17/2022 21,67.21,96.44,10201.0
404,03/17/2022 22,61.81,95.88,10041.0
405,03/17/2022 23,46.83,95.55,9754.0
406,03/17/2022 24,37.99,95.46,9552.0
407,03/18/2022 01,36.72,95.42,9406.0
408,03/18/2022 02,37.57,95.42,9318.0
409,03/18/2022 03,37.75,95.4,9227.0
410,03/18/2022 04,36.81,95.37,9212.0
411,03/18/2022 05,47.11,95.35,9259.0
412,03/18/2022 06,64.51,95.33,9415.0
413,03/18/2022 07,71.01,95.13,9825.0
414,03/18/2022 08,69.37,94.21,10190.0
415,03/18/2022 09,73.84,93.69,10311.0
416,03/18/2022 10,173.05,93.02,10259.0
417,03/18/2022 11,88.17,92.35,10272.0
418,03/18/2022 12,155.74,92.02,10232.0
419,03/18/2022 13,155.59,92.07,10106.0
420,03/18/2022 14,121.51,92.12,10068.0
421,03/18/2022 15,157.87,92.23,10064.0
422,03/18/2022 16,76.41,92.23,10031.0
423,03/18/2022 17,70.54,92.22,10015.0
424,03/18/2022 18,56.59,92.01,10008.0
425,03/18/2022 19,49.08,91.68,9968.0
426,03/18/2022 20,57.25,91.19,9968.0
427,03/18/2022 21,57.44,91.12,10093.0
428,03/18/2022 22,46.14,91.06,9993.0
429,03/18/2022 23,43.37,91.0,9780.0
430,03/18/2022 24,43.71,90.9,9528.0
431,03/19/2022 01,39.08,90.86,9320.0
432,03/19/2022 02,38.16,90.81,9246.0
433,03/19/2022 03,41.47,90.79,9149.0
434,03/19/2022 04,46.04,90.8,9125.0
435,03/19/2022 05,50.22,90.82,9170.0
436,03/19/2022 06,60.64,90.86,9253.0
437,03/19/2022 07,70.92,90.91,9422.0
438,03/19/2022 08,85.48,90.97,9599.0
439,03/19/2022 09,236.25,91.23,9654.0
440,03/19/2022 10,173.79,91.4,9697.0
441,03/19/2022 11,140.36,91.53,9743.0
442,03/19/2022 12,114.95,91.64,9806.0
443,03/19/2022 13,64.76,91.66,9775.0
444,03/19/2022 14,43.35,91.65,9698.0
445,03/19/2022 15,38.52,91.64,9686.0
446,03/19/2022 16,43.28,91.63,9679.0
447,03/19/2022 17,48.77,91.63,9729.0
448,03/19/2022 18,51.21,91.61,9769.0
449,03/19/2022 19,51.19,91.58,9733.0
450,03/19/2022 20,56.13,91.55,9740.0
451,03/19/2022 21,60.44,91.53,9869.0
452,03/19/2022 22,58.49,91.53,9720.0
453,03/19/2022 23,52.25,91.53,9545.0
454,03/19/2022 24,49.25,91.53,9328.0
455,03/20/2022 01,58.58,91.53,9196.0
456,03/20/2022 02,47.57,91.51,9137.0
457,03/20/2022 03,45.53,91.52,9064.0
458,03/20/2022 04,40.49,91.52,9066.0
459,03/20/2022 05,38.41,91.5,9150.0
460,03/20/2022 06,38.92,91.46,9200.0
461,03/20/2022 07,40.3,91.43,9332.0
462,03/20/2022 08,38.67,91.39,9483.0
463,03/20/2022 09,38.25,91.3,9537.0
464,03/20/2022 10,38.38,91.22,9748.0
465,03/20/2022 11,40.29,90.96,9912.0
466,03/20/2022 12,54.36,90.57,9995.0
467,03/20/2022 13,64.63,90.14,10012.0
468,03/20/2022 14,68.62,89.54,9927.0
469,03/20/2022 15,64.24,88.8,9800.0
470,03/20/2022 16,48.04,88.05,9811.0
471,03/20/2022 17,47.74,87.84,9893.0
472,03/20/2022 18,47.74,87.65,9900.0
473,03/20/2022 19,50.65,87.49,9831.0
474,03/20/2022 20,63.81,87.5,9811.0
475,03/20/2022 21,64.8,87.54,9963.0
476,03/20/2022 22,55.2,87.56,9872.0
477,03/20/2022 23,47.57,87.56,9654.0
478,03/20/2022 24,42.74,87.56,9355.0
479,03/21/2022 01,38.18,87.56,9202.0
480,03/21/2022 02,37.42,87.56,9138.0
481,03/21/2022 03,38.03,87.57,9115.0
482,03/21/2022 04,43.65,87.58,9104.0
483,03/21/2022 05,47.22,87.6,9148.0
484,03/21/2022 06,53.82,87.63,9400.0
485,03/21/2022 07,67.05,87.67,9804.0
486,03/21/2022 08,76.1,87.73,10201.0
487,03/21/2022 09,69.03,87.76,10303.0
488,03/21/2022 10,68.37,87.79,10319.0
489,03/21/2022 11,65.54,87.81,10343.0
490,03/21/2022 12,63.63,87.85,10312.0
491,03/21/2022 13,62.72,87.87,10206.0
492,03/21/2022 14,61.09,87.89,10172.0
493,03/21/2022 15,60.0,87.92,10113.0
494,03/21/2022 16,60.21,87.94,10101.0
495,03/21/2022 17,59.82,87.97,10156.0
496,03/21/2022 18,65.35,87.99,10151.0
497,03/21/2022 19,66.62,87.99,10018.0
498,03/21/2022 20,69.49,88.0,10016.0
499,03/21/2022 21,65.85,87.99,10156.0
500,03/21/2022 22,50.91,87.96,10012.0
501,03/21/2022 23,41.89,87.95,9752.0
502,03/21/2022 24,38.63,87.93,9530.0
503,03/22/2022 01,36.38,87.9,9321.0
504,03/22/2022 02,36.09,87.9,9215.0
505,03/22/2022 03,41.69,87.89,9200.0
506,03/22/2022 04,43.57,87.91,9185.0
507,03/22/2022 05,45.93,87.92,9220.0
508,03/22/2022 06,56.76,87.94,9377.0
509,03/22/2022 07,77.98,87.97,9791.0
510,03/22/2022 08,138.38,88.06,10146.0
511,03/22/2022 09,212.0,88.26,10145.0
512,03/22/2022 10,199.42,88.45,10159.0
513,03/22/2022 11,117.65,88.52,10126.0
514,03/22/2022 12,90.45,88.53,10100.0
515,03/22/2022 13,69.4,88.52,10060.0
516,03/22/2022 14,65.92,88.51,10006.0
517,03/22/2022 15,63.56,88.5,9921.0
518,03/22/2022 16,65.21,88.49,10013.0
519,03/22/2022 17,76.78,88.49,10099.0
520,03/22/2022 18,76.51,88.49,10096.0
521,03/22/2022 19,76.83,88.48,9978.0
522,03/22/2022 20,79.56,88.4,10023.0
523,03/22/2022 21,76.6,88.39,10153.0
524,03/22/2022 22,64.74,88.37,9948.0
525,03/22/2022 23,49.84,88.31,9646.0
526,03/22/2022 24,38.54,88.26,9330.0
527,03/23/2022 01,44.21,88.14,9146.0
528,03/23/2022 02,47.55,88.09,9083.0
529,03/23/2022 03,47.55,88.05,9020.0
530,03/23/2022 04,47.11,88.01,9007.0
531,03/23/2022 05,46.95,87.98,9043.0
532,03/23/2022 06,49.81,87.95,9292.0
533,03/23/2022 07,69.64,87.94,9687.0
534,03/23/2022 08,56.34,87.92,10067.0
535,03/23/2022 09,53.38,87.88,10130.0
536,03/23/2022 10,67.1,87.85,10180.0
537,03/23/2022 11,71.76,87.71,10216.0
538,03/23/2022 12,68.57,87.55,10257.0
539,03/23/2022 13,65.91,87.25,10159.0
540,03/23/2022 14,54.31,87.06,10138.0
541,03/23/2022 15,48.44,86.87,10122.0
542,03/23/2022 16,43.95,86.74,10093.0
543,03/23/2022 17,49.99,86.64,10091.0
544,03/23/2022 18,46.64,86.48,10094.0
545,03/23/2022 19,54.7,86.06,9952.0
546,03/23/2022 20,68.29,85.67,9975.0
547,03/23/2022 21,66.46,85.52,10070.0
548,03/23/2022 22,45.77,85.24,9882.0
549,03/23/2022 23,34.71,85.11,9588.0
550,03/23/2022 24,33.77,85.02,9338.0
551,03/24/2022 01,32.45,84.83,9167.0
552,03/24/2022 02,32.92,84.65,9102.0
553,03/24/2022 03,34.99,84.54,9066.0
554,03/24/2022 04,35.39,84.46,9038.0
555,03/24/2022 05,36.05,84.38,9087.0
556,03/24/2022 06,52.53,84.23,9223.0
557,03/24/2022 07,69.3,84.08,9612.0
558,03/24/2022 08,72.06,83.88,10100.0
559,03/24/2022 09,66.63,82.93,10230.0
560,03/24/2022 10,63.95,82.04,10300.0
561,03/24/2022 11,60.65,81.1,10284.0
562,03/24/2022 12,56.74,80.21,10251.0
563,03/24/2022 13,44.41,79.3,10178.0
564,03/24/2022 14,46.13,78.59,10172.0
565,03/24/2022 15,66.7,77.76,10140.0
566,03/24/2022 16,68.51,77.01,10149.0
567,03/24/2022 17,66.4,76.44,10174.0
568,03/24/2022 18,64.58,75.87,10190.0
569,03/24/2022 19,56.1,75.01,10033.0
570,03/24/2022 20,60.89,74.39,10028.0
571,03/24/2022 21,66.68,73.91,10129.0
572,03/24/2022 22,67.72,73.6,9962.0
573,03/24/2022 23,67.72,73.55,9706.0
574,03/24/2022 24,69.62,73.52,9467.0
575,03/25/2022 01,74.0,73.51,9379.0
576,03/25/2022 02,73.14,73.52,9307.0
577,03/25/2022 03,70.0,73.53,9254.0
578,03/25/2022 04,70.0,73.54,9280.0
579,03/25/2022 05,71.39,73.55,9351.0
