,Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
0,03/01/2022 01,73.07,101.79,9784.0
1,03/01/2022 02,72.85,101.82,9683.0
2,03/01/2022 03,72.56,101.86,9681.0
3,03/01/2022 04,72.32,101.89,9691.0
4,03/01/2022 05,72.8,101.93,9757.0
5,03/01/2022 06,73.67,101.97,9882.0
6,03/01/2022 07,90.38,102.03,10290.0
7,03/01/2022 08,73.58,102.06,10676.0
8,03/01/2022 09,72.61,102.09,10772.0
9,03/01/2022 10,71.31,102.11,10797.0
10,03/01/2022 11,65.95,102.12,10752.0
11,03/01/2022 12,63.98,102.14,10697.0
12,03/01/2022 13,63.98,102.16,10638.0
13,03/01/2022 14,60.78,102.18,10620.0
14,03/01/2022 15,59.98,102.2,10641.0
15,03/01/2022 16,59.34,102.23,10638.0
16,03/01/2022 17,60.98,102.25,10693.0
17,03/01/2022 18,59.8,102.26,10749.0
18,03/01/2022 19,60.25,102.25,10737.0
19,03/01/2022 20,60.52,102.26,10759.0
20,03/01/2022 21,67.7,102.29,10722.0
21,03/01/2022 22,68.39,102.33,10586.0
22,03/01/2022 23,66.12,102.37,10394.0
23,03/01/2022 24,67.39,102.41,10149.0
24,03/02/2022 01,57.28,102.44,9985.0
25,03/02/2022 02,66.15,102.49,9909.0
26,03/02/2022 03,117.16,102.61,9842.0
27,03/02/2022 04,75.65,102.67,9826.0
28,03/02/2022 05,73.92,102.74,9915.0
29,03/02/2022 06,74.3,102.79,10097.0
30,03/02/2022 07,128.27,102.91,10433.0
31,03/02/2022 08,74.47,102.95,10789.0
32,03/02/2022 09,74.42,102.98,10775.0
33,03/02/2022 10,112.79,103.05,10781.0
34,03/02/2022 11,131.26,103.14,10840.0
35,03/02/2022 12,188.0,103.31,10867.0
36,03/02/2022 13,266.19,103.58,10808.0
37,03/02/2022 14,253.98,103.82,10787.0
38,03/02/2022 15,246.55,104.06,10760.0
39,03/02/2022 16,283.21,104.36,10694.0
40,03/02/2022 17,285.35,104.66,10772.0
41,03/02/2022 18,305.63,104.98,10832.0
42,03/02/2022 19,301.26,105.3,10868.0
43,03/02/2022 20,225.43,105.51,10799.0
44,03/02/2022 21,180.34,105.66,10773.0
45,03/02/2022 22,151.83,105.76,10618.0
46,03/02/2022 23,70.79,105.77,10339.0
47,03/02/2022 24,102.87,105.81,10110.0
48,03/03/2022 01,77.39,105.82,9957.0
49,03/03/2022 02,72.72,105.83,9873.0
50,03/03/2022 03,69.34,105.83,9792.0
51,03/03/2022 04,69.52,105.84,9780.0
52,03/03/2022 05,68.27,105.85,9820.0
53,03/03/2022 06,76.47,105.86,10016.0
54,03/03/2022 07,116.84,105.92,10378.0
55,03/03/2022 08,168.95,106.05,10748.0
56,03/03/2022 09,259.04,106.3,10749.0
57,03/03/2022 10,281.69,106.58,10747.0
58,03/03/2022 11,257.91,106.81,10754.0
59,03/03/2022 12,301.66,107.11,10741.0
60,03/03/2022 13,267.78,107.36,10726.0
61,03/03/2022 14,228.28,107.55,10700.0
62,03/03/2022 15,202.79,107.71,10723.0
63,03/03/2022 16,239.94,107.92,10774.0
64,03/03/2022 17,234.12,108.12,10766.0
65,03/03/2022 18,211.23,108.2,10810.0
66,03/03/2022 19,213.32,108.33,10828.0
67,03/03/2022 20,141.73,108.41,10788.0
68,03/03/2022 21,166.04,108.51,10739.0
69,03/03/2022 22,80.89,108.52,10576.0
70,03/03/2022 23,81.28,108.54,10326.0
71,03/03/2022 24,96.1,108.57,10054.0
72,03/04/2022 01,82.01,108.57,9881.0
73,03/04/2022 02,78.97,108.58,9841.0
74,03/04/2022 03,75.5,108.58,9821.0
75,03/04/2022 04,58.25,108.55,9820.0
76,03/04/2022 05,62.55,108.53,9856.0
77,03/04/2022 06,77.87,108.48,9995.0
78,03/04/2022 07,87.71,108.3,10320.0
79,03/04/2022 08,80.84,108.1,10672.0
80,03/04/2022 09,83.12,107.98,10820.0
81,03/04/2022 10,86.02,107.97,10826.0
82,03/04/2022 11,83.48,107.97,10812.0
83,03/04/2022 12,81.32,107.97,10775.0
84,03/04/2022 13,80.52,107.97,10703.0
85,03/04/2022 14,78.97,107.99,10693.0
86,03/04/2022 15,72.51,108.01,10688.0
87,03/04/2022 16,74.29,108.05,10718.0
88,03/04/2022 17,81.45,108.1,10744.0
89,03/04/2022 18,80.93,108.15,10739.0
90,03/04/2022 19,75.5,108.2,10734.0
91,03/04/2022 20,75.02,108.23,10767.0
92,03/04/2022 21,74.3,108.26,10710.0
93,03/04/2022 22,85.17,108.29,10623.0
94,03/04/2022 23,78.72,108.33,10415.0
95,03/04/2022 24,86.81,108.39,10170.0
96,03/05/2022 01,70.73,108.42,9997.0
97,03/05/2022 02,84.38,108.47,9916.0
98,03/05/2022 03,72.25,108.5,9845.0
99,03/05/2022 04,73.18,108.53,9822.0
100,03/05/2022 05,79.34,108.57,9824.0
101,03/05/2022 06,83.54,108.62,9906.0
102,03/05/2022 07,84.34,108.66,10073.0
103,03/05/2022 08,75.98,108.67,10176.0
104,03/05/2022 09,75.98,108.66,10326.0
105,03/05/2022 10,77.38,108.65,10500.0
106,03/05/2022 11,83.14,108.65,10550.0
107,03/05/2022 12,79.93,108.65,10505.0
108,03/05/2022 13,73.38,108.64,10390.0
109,03/05/2022 14,67.97,108.63,10281.0
110,03/05/2022 15,58.27,108.6,10236.0
111,03/05/2022 16,57.32,108.57,10193.0
112,03/05/2022 17,74.61,108.56,10307.0
113,03/05/2022 18,85.32,108.55,10463.0
114,03/05/2022 19,87.16,108.49,10628.0
115,03/05/2022 20,86.32,108.4,10678.0
116,03/05/2022 21,82.96,108.4,10572.0
117,03/05/2022 22,75.23,108.39,10414.0
118,03/05/2022 23,63.83,108.36,10189.0
119,03/05/2022 24,67.57,108.37,9979.0
120,03/06/2022 01,45.54,108.36,9788.0
121,03/06/2022 02,61.97,108.37,9722.0
122,03/06/2022 03,55.68,108.39,9660.0
123,03/06/2022 04,52.31,108.4,9617.0
124,03/06/2022 05,51.68,108.41,9612.0
125,03/06/2022 06,54.59,108.42,9663.0
126,03/06/2022 07,68.61,108.44,9796.0
127,03/06/2022 08,65.01,108.46,9911.0
128,03/06/2022 09,69.49,108.48,10058.0
129,03/06/2022 10,53.15,108.48,10163.0
130,03/06/2022 11,54.25,108.48,10267.0
131,03/06/2022 12,61.22,108.48,10300.0
132,03/06/2022 13,61.22,108.49,10280.0
133,03/06/2022 14,59.22,108.49,10220.0
134,03/06/2022 15,51.35,108.47,10185.0
135,03/06/2022 16,48.45,108.45,10171.0
136,03/06/2022 17,51.24,108.45,10282.0
137,03/06/2022 18,54.52,108.45,10434.0
138,03/06/2022 19,42.58,108.43,10614.0
139,03/06/2022 20,36.66,108.41,10671.0
140,03/06/2022 21,33.8,108.39,10550.0
141,03/06/2022 22,41.45,108.37,10382.0
142,03/06/2022 23,42.35,108.37,10064.0
143,03/06/2022 24,38.86,108.37,9775.0
144,03/07/2022 01,36.78,108.37,9634.0
145,03/07/2022 02,36.01,108.36,9578.0
146,03/07/2022 03,36.34,108.36,9561.0
147,03/07/2022 04,36.78,108.36,9563.0
148,03/07/2022 05,37.49,108.36,9505.0
149,03/07/2022 06,45.77,108.37,9698.0
150,03/07/2022 07,42.44,108.37,10084.0
151,03/07/2022 08,52.87,108.38,10502.0
152,03/07/2022 09,51.34,108.39,10695.0
153,03/07/2022 10,57.78,108.4,10767.0
154,03/07/2022 11,44.44,108.38,10766.0
155,03/07/2022 12,43.76,108.38,10752.0
156,03/07/2022 13,42.6,108.36,10756.0
157,03/07/2022 14,52.88,108.36,10802.0
158,03/07/2022 15,63.68,108.39,10796.0
159,03/07/2022 16,63.64,108.36,10830.0
160,03/07/2022 17,64.46,107.59,10891.0
161,03/07/2022 18,62.6,106.33,10943.0
162,03/07/2022 19,62.37,105.02,10943.0
163,03/07/2022 20,62.21,104.13,10899.0
164,03/07/2022 21,62.12,104.02,10836.0
165,03/07/2022 22,63.95,103.99,10728.0
166,03/07/2022 23,63.82,104.01,10450.0
167,03/07/2022 24,63.8,104.04,10259.0
168,03/08/2022 01,63.1,104.08,10049.0
169,03/08/2022 02,61.68,104.12,9894.0
170,03/08/2022 03,50.97,104.13,9849.0
171,03/08/2022 04,38.89,104.14,9848.0
172,03/08/2022 05,40.75,104.15,9894.0
173,03/08/2022 06,59.01,104.17,10102.0
174,03/08/2022 07,61.69,104.2,10437.0
175,03/08/2022 08,40.57,104.2,10739.0
176,03/08/2022 09,56.79,104.22,10870.0
177,03/08/2022 10,67.17,104.24,10887.0
178,03/08/2022 11,71.32,104.25,10869.0
179,03/08/2022 12,73.33,104.29,10885.0
180,03/08/2022 13,76.57,104.34,10845.0
181,03/08/2022 14,79.83,104.39,10856.0
182,03/08/2022 15,78.59,104.43,10871.0
183,03/08/2022 16,79.19,104.48,10899.0
184,03/08/2022 17,77.3,104.51,10939.0
185,03/08/2022 18,80.44,104.53,10883.0
186,03/08/2022 19,81.53,104.55,10908.0
187,03/08/2022 20,76.67,104.58,10931.0
188,03/08/2022 21,72.92,104.62,10930.0
189,03/08/2022 22,76.67,104.67,10821.0
190,03/08/2022 23,76.85,104.71,10566.0
191,03/08/2022 24,100.07,104.79,10311.0
192,03/09/2022 01,80.16,104.85,10127.0
193,03/09/2022 02,73.29,104.9,10061.0
194,03/09/2022 03,69.64,104.94,10028.0
195,03/09/2022 04,69.34,104.96,10019.0
196,03/09/2022 05,78.58,104.99,10092.0
197,03/09/2022 06,84.22,105.06,10204.0
198,03/09/2022 07,116.21,105.15,10558.0
199,03/09/2022 08,91.79,105.18,10835.0
200,03/09/2022 09,98.26,105.2,10939.0
201,03/09/2022 10,77.11,105.21,10931.0
202,03/09/2022 11,80.11,105.24,10906.0
203,03/09/2022 12,74.97,105.26,10860.0
204,03/09/2022 13,72.67,105.26,10822.0
205,03/09/2022 14,63.73,105.2,10767.0
206,03/09/2022 15,71.33,105.21,10765.0
207,03/09/2022 16,73.9,105.22,10779.0
208,03/09/2022 17,75.17,105.24,10790.0
209,03/09/2022 18,76.74,105.22,10745.0
210,03/09/2022 19,75.46,105.23,10814.0
211,03/09/2022 20,53.33,105.22,10894.0
212,03/09/2022 21,42.6,105.21,10882.0
213,03/09/2022 22,37.7,105.21,10698.0
214,03/09/2022 23,37.07,105.2,10362.0
215,03/09/2022 24,36.43,105.19,10097.0
216,03/10/2022 01,36.9,105.2,10015.0
217,03/10/2022 02,37.03,105.21,9943.0
218,03/10/2022 03,37.03,105.21,9894.0
219,03/10/2022 04,36.97,105.22,9901.0
220,03/10/2022 05,37.03,105.21,10001.0
221,03/10/2022 06,39.26,105.21,10170.0
222,03/10/2022 07,58.72,105.21,10534.0
223,03/10/2022 08,45.71,105.21,10826.0
224,03/10/2022 09,37.03,105.19,10918.0
225,03/10/2022 10,36.8,105.16,10923.0
226,03/10/2022 11,41.64,105.14,10946.0
227,03/10/2022 12,51.05,105.15,10903.0
228,03/10/2022 13,64.75,105.18,10895.0
229,03/10/2022 14,66.02,105.21,10862.0
