Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
05/25/2022,85,22,22,17,24,18,16,65,40,43,36,31,37,31,28,28,44,50,33,34,39,51,47,63
05/26/2022,78,35,35,22,31,38,22,66,48,56,36,43,36,35,25,44,32,31,29,33,34,35,55,62
05/27/2022,80,19,27,24,40,23,24,61,46,51,40,46,34,43,30,40,23,38,31,42,41,41,39,55
05/28/2022,89,39,39,32,38,37,38,70,60,48,41,39,31,35,29,34,29,36,30,24,29,38,57,62
05/29/2022,71,34,44,37,40,40,39,63,41,39,37,29,29,31,33,27,21,27,20,32,33,38,31,62
05/30/2022,83,15,31,26,25,32,22,74,39,37,41,27,49,32,30,33,27,40,23,22,33,39,36,69
05/31/2022,75,38,36,30,32,35,36,67,37,48,36,38,37,28,34,27,30,28,29,32,35,40,47,64
06/01/2022,77,29,21,20,19,24,22,71,41,48,32,37,37,42,48,38,48,52,43,42,33,48,37,69
06/02/2022,85,36,40,29,32,43,30,69,56,52,46,43,42,39,42,46,46,39,40,33,54,44,43,66
06/03/2022,91,40,31,40,32,38,29,74,65,63,53,47,54,44,36,36,34,37,39,35,40,42,47,63
06/04/2022,88,40,29,22,26,39,23,80,34,46,35,42,31,41,28,21,27,34,26,35,29,42,35,62
06/05/2022,68,31,22,19,27,38,26,62,39,34,24,29,28,20,32,34,29,26,30,27,25,31,29,61
06/06/2022,61,29,16,32,24,33,43,82,41,44,61,47,38,48,27,31,39,36,40,36,26,42,28,65
06/07/2022,80,29,22,28,26,33,25,73,41,39,43,39,54,45,55,47,49,39,34,43,41,40,57,74
06/08/2022,92,42,31,43,23,36,35,82,60,53,68,56,58,47,51,39,38,31,37,43,47,44,54,81
06/09/2022,107,34,48,40,38,40,40,94,69,66,65,51,56,45,40,43,42,37,39,51,52,40,63,86
06/10/2022,92,27,40,28,24,45,36,86,59,52,48,37,36,50,29,37,41,48,36,44,52,55,50,74
06/11/2022,95,32,26,24,39,36,29,82,54,43,63,43,50,40,28,36,23,38,31,50,32,44,38,60
06/12/2022,91,29,26,27,11,35,21,65,50,31,46,39,40,34,31,27,27,29,31,32,31,27,43,52
06/13/2022,67,19,28,16,15,26,17,63,41,49,56,34,34,42,28,32,38,29,43,33,44,23,24,57
06/14/2022,64,22,27,19,21,27,17,57,28,36,37,38,40,49,36,40,39,35,31,42,34,34,26,46
06/15/2022,78,23,23,19,12,26,28,66,39,43,28,24,43,50,30,38,48,25,37,36,55,37,46,57
06/16/2022,79,33,34,42,25,29,30,60,46,41,44,35,41,36,33,28,37,43,28,41,50,30,44,73
06/17/2022,78,40,51,32,30,27,44,88,46,45,43,45,35,42,34,27,43,36,33,34,51,40,48,73
06/18/2022,89,24,41,29,19,25,32,65,27,33,37,42,46,37,26,33,38,38,42,30,36,35,53,69
06/19/2022,80,28,33,30,27,38,26,84,42,35,51,32,29,44,42,31,43,42,23,46,43,46,40,87
06/20/2022,64,32,31,36,27,29,29,85,40,57,40,36,39,38,30,49,36,43,34,42,54,51,36,77
06/21/2022,77,29,18,35,27,27,30,87,56,52,51,43,36,40,22,44,38,41,28,34,40,49,38,69
06/22/2022,83,31,20,26,36,23,30,76,70,47,50,46,38,37,64,30,49,43,42,38,49,41,42,60
06/23/2022,85,29,28,37,27,31,27,64,42,39,55,29,35,52,28,53,30,45,32,42,54,26,26,50
06/24/2022,96,20,22,19,12,19,16,47,33,30,39,27,43,29,37,37,39,43,21,29,35,32,36,50
06/25/2022,70,20,18,21,25,24,23,55,47,43,47,45,35,43,34,25,39,36,38,35,47,32,42,72
06/26/2022,85,46,29,24,23,33,28,75,51,52,48,43,42,41,32,32,32,44,39,41,38,53,42,68
06/27/2022,80,32,34,30,26,41,32,76,50,57,53,38,46,37,32,36,25,40,28,37,43,40,33,68
06/28/2022,80,41,42,32,29,34,37,88,59,58,46,45,48,44,36,39,41,41,27,28,32,36,36,70
06/29/2022,102,43,27,31,25,48,26,88,56,41,43,44,37,31,46,41,39,38,31,46,32,35,34,71
06/30/2022,82,31,23,35,28,39,27,93,53,56,54,31,48,60,40,36,35,37,37,39,46,49,52,80
07/01/2022,98,34,39,36,35,36,30,90,62,47,48,41,52,29,39,37,32,28,36,33,40,32,34,74
