,Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
132,03/06/2020 13,34.51,36.39,10472.0
133,03/06/2020 14,32.9,36.39,10447.0
134,03/06/2020 15,32.69,36.39,10421.0
135,03/06/2020 16,32.65,36.39,10473.0
136,03/06/2020 17,32.65,36.38,10507.0
137,03/06/2020 18,33.7,36.38,10554.0
138,03/06/2020 19,33.62,36.38,10587.0
139,03/06/2020 20,34.41,36.38,10584.0
140,03/06/2020 21,34.48,36.39,10501.0
141,03/06/2020 22,34.87,36.39,10399.0
142,03/06/2020 23,35.07,36.4,10193.0
143,03/06/2020 24,34.37,36.42,9968.0
144,03/07/2020 01,32.72,36.43,9789.0
145,03/07/2020 02,32.59,36.45,9659.0
146,03/07/2020 03,32.46,36.46,9539.0
147,03/07/2020 04,32.57,36.48,9530.0
148,03/07/2020 05,32.57,36.49,9560.0
149,03/07/2020 06,32.95,36.5,9594.0
150,03/07/2020 07,34.71,36.51,9765.0
151,03/07/2020 08,32.48,36.51,9907.0
152,03/07/2020 09,35.8,36.51,10182.0
153,03/07/2020 10,36.97,36.51,10396.0
154,03/07/2020 11,37.97,36.51,10448.0
155,03/07/2020 12,35.5,36.51,10470.0
156,03/07/2020 13,34.22,36.51,10467.0
157,03/07/2020 14,34.35,36.51,10469.0
158,03/07/2020 15,34.2,36.51,10474.0
159,03/07/2020 16,34.89,36.51,10485.0
160,03/07/2020 17,36.39,36.51,10564.0
161,03/07/2020 18,36.46,36.49,10609.0
162,03/07/2020 19,36.47,36.47,10616.0
163,03/07/2020 20,85.14,36.54,10531.0
164,03/07/2020 21,49.32,36.55,10532.0
165,03/07/2020 22,34.04,36.55,10451.0
166,03/07/2020 23,34.05,36.55,10260.0
167,03/07/2020 24,34.27,36.55,10011.0
168,03/08/2020 01,34.99,36.55,9854.0
169,03/08/2020 03,33.19,36.56,9683.0
170,03/08/2020 04,32.57,36.56,9574.0
171,03/08/2020 05,32.56,36.56,9612.0
172,03/08/2020 06,33.75,36.56,9671.0
173,03/08/2020 07,36.41,36.57,9784.0
174,03/08/2020 08,33.11,36.57,9942.0
175,03/08/2020 09,36.62,36.57,10033.0
176,03/08/2020 10,36.87,36.58,10210.0
177,03/08/2020 11,36.86,36.58,10214.0
178,03/08/2020 12,34.89,36.58,10216.0
179,03/08/2020 13,32.95,36.58,10223.0
180,03/08/2020 14,32.62,36.57,10176.0
181,03/08/2020 15,32.63,36.57,10135.0
182,03/08/2020 16,32.64,36.57,10169.0
183,03/08/2020 17,32.65,36.57,10221.0
184,03/08/2020 18,33.96,36.56,10342.0
185,03/08/2020 19,36.19,36.56,10326.0
